
Município;Ano;Classe;Quantidade (KWH)
Abaíra;2016;Comercial;504332
Abaíra;2016;Industrial;45682
Abaíra;2016;Outros;13956
Abaíra;2016;Pública;1476342
Abaíra;2016;Residencial;2954576
Abaíra;2016;Rural;266110
Abaré;2016;Comercial;721925
Abaré;2016;Industrial;186111
Abaré;2016;Outros;9850
Abaré;2016;Pública;2157747
Abaré;2016;Residencial;5712082
Abaré;2016;Rural;5188939
Acajutiba;2016;Comercial;791749
Acajutiba;2016;Industrial;24908
Acajutiba;2016;Pública;1734412
Acajutiba;2016;Residencial;5360329
Acajutiba;2016;Rural;287264
Adustina;2016;Comercial;433973
Adustina;2016;Industrial;5926
Adustina;2016;Pública;2036705
Adustina;2016;Residencial;3759034
Adustina;2016;Rural;496188
Água Fria;2016;Comercial;531779
Água Fria;2016;Industrial;104468
Água Fria;2016;Pública;2325596
Água Fria;2016;Residencial;4041061
Água Fria;2016;Rural;2867383
Aiquara;2016;Comercial;206055
Aiquara;2016;Industrial;8887
Aiquara;2016;Pública;551073
Aiquara;2016;Residencial;1321416
Aiquara;2016;Rural;794302
Alagoinhas;2016;Comercial;36164261
Alagoinhas;2016;Industrial;133433366
Alagoinhas;2016;Outros;94577
Alagoinhas;2016;Pública;26752631
Alagoinhas;2016;Residencial;79555735
Alagoinhas;2016;Rural;3461210
Alcobaça;2016;Comercial;2748239
Alcobaça;2016;Industrial;1870657
Alcobaça;2016;Outros;12879
Alcobaça;2016;Pública;3890960
Alcobaça;2016;Residencial;9813005
Alcobaça;2016;Rural;3403685
Almadina;2016;Comercial;264914
Almadina;2016;Industrial;13674
Almadina;2016;Pública;752123
Almadina;2016;Residencial;1903763
Almadina;2016;Rural;290400
Amargosa;2016;Comercial;3791767
Amargosa;2016;Industrial;1071618
Amargosa;2016;Outros;11494
Amargosa;2016;Pública;5500250
Amargosa;2016;Residencial;14727455
Amargosa;2016;Rural;987725
Amélia Rodrigues;2016;Comercial;3319194
Amélia Rodrigues;2016;Industrial;1256489
Amélia Rodrigues;2016;Outros;36387
Amélia Rodrigues;2016;Pública;5276132
Amélia Rodrigues;2016;Residencial;10149824
Amélia Rodrigues;2016;Rural;904551
América Dourada;2016;Comercial;991733
América Dourada;2016;Industrial;10622
América Dourada;2016;Outros;6231
América Dourada;2016;Pública;1951276
América Dourada;2016;Residencial;4801337
América Dourada;2016;Rural;13674966
Anagé;2016;Comercial;1303466
Anagé;2016;Industrial;58487
Anagé;2016;Outros;22432
Anagé;2016;Pública;2108764
Anagé;2016;Residencial;6923160
Anagé;2016;Rural;3906386
Andaraí;2016;Comercial;978854
Andaraí;2016;Industrial;16662
Andaraí;2016;Outros;3621
Andaraí;2016;Pública;2281898
Andaraí;2016;Residencial;4102492
Andaraí;2016;Rural;1037731
Andorinha;2016;Comercial;657148
Andorinha;2016;Industrial;903846
Andorinha;2016;Pública;1368945
Andorinha;2016;Residencial;5345450
Andorinha;2016;Rural;279364
Angical;2016;Comercial;665079
Angical;2016;Industrial;140090
Angical;2016;Outros;4819
Angical;2016;Pública;2273032
Angical;2016;Residencial;5575368
Angical;2016;Rural;794863
Anguera;2016;Comercial;312269
Anguera;2016;Industrial;44703
Anguera;2016;Outros;12764
Anguera;2016;Pública;1022339
Anguera;2016;Residencial;2530381
Anguera;2016;Rural;310705
Antas;2016;Comercial;886403
Antas;2016;Industrial;33697
Antas;2016;Pública;2803305
Antas;2016;Residencial;4429062
Antas;2016;Rural;186488
Antônio Cardoso;2016;Comercial;423705
Antônio Cardoso;2016;Pública;1968692
Antônio Cardoso;2016;Residencial;2461166
Antônio Cardoso;2016;Rural;1013912
Antônio Gonçalves;2016;Comercial;429274
Antônio Gonçalves;2016;Industrial;12047
Antônio Gonçalves;2016;Pública;3593141
Antônio Gonçalves;2016;Residencial;3164217
Antônio Gonçalves;2016;Rural;119738
Aporá;2016;Comercial;672988
Aporá;2016;Industrial;62126
Aporá;2016;Pública;1856396
Aporá;2016;Residencial;4942886
Aporá;2016;Rural;675711
Apuarema;2016;Comercial;248722
Apuarema;2016;Industrial;153763
Apuarema;2016;Pública;1333772
Apuarema;2016;Residencial;2185535
Apuarema;2016;Rural;163040
Araçás;2016;Comercial;445836
Araçás;2016;Industrial;986752
Araçás;2016;Pública;1931845
Araçás;2016;Residencial;3705458
Araçás;2016;Rural;572250
Aracatu;2016;Comercial;708883
Aracatu;2016;Industrial;11359
Aracatu;2016;Pública;2634416
Aracatu;2016;Residencial;3368367
Aracatu;2016;Rural;1063362
Araci;2016;Comercial;2553858
Araci;2016;Industrial;144949
Araci;2016;Pública;6231971
Araci;2016;Residencial;15743179
Araci;2016;Rural;613994
Aramari;2016;Comercial;393357
Aramari;2016;Industrial;41159
Aramari;2016;Pública;1581717
Aramari;2016;Residencial;3438911
Aramari;2016;Rural;333509
Arataca;2016;Comercial;346023
Arataca;2016;Industrial;8931
Arataca;2016;Pública;836815
Arataca;2016;Residencial;2281066
Arataca;2016;Rural;1309432
Aratuípe;2016;Comercial;246076
Aratuípe;2016;Industrial;23557
Aratuípe;2016;Pública;889433
Aratuípe;2016;Residencial;2321539
Aratuípe;2016;Rural;436787
Aurelino Leal;2016;Comercial;451231
Aurelino Leal;2016;Industrial;1361577
Aurelino Leal;2016;Outros;7088
Aurelino Leal;2016;Pública;1147877
Aurelino Leal;2016;Residencial;3743635
Aurelino Leal;2016;Rural;887091
Baianópolis;2016;Comercial;846802
Baianópolis;2016;Industrial;12159
Baianópolis;2016;Pública;1757468
Baianópolis;2016;Residencial;4187181
Baianópolis;2016;Rural;877870
Baixa Grande;2016;Comercial;989014
Baixa Grande;2016;Industrial;47814
Baixa Grande;2016;Pública;1550226
Baixa Grande;2016;Residencial;6160988
Baixa Grande;2016;Rural;419483
Banzaê;2016;Comercial;563500
Banzaê;2016;Industrial;10590
Banzaê;2016;Pública;4288626
Banzaê;2016;Residencial;3909921
Banzaê;2016;Rural;331976
Barra;2016;Comercial;3482075
Barra;2016;Industrial;249699
Barra;2016;Outros;32427
Barra;2016;Pública;5249604
Barra;2016;Residencial;17490869
Barra;2016;Rural;2539784
Barra da Estiva;2016;Comercial;2917684
Barra da Estiva;2016;Industrial;145356
Barra da Estiva;2016;Outros;28112
Barra da Estiva;2016;Pública;2420326
Barra da Estiva;2016;Residencial;8591276
Barra da Estiva;2016;Rural;2127316
Barra do Choça;2016;Comercial;1477552
Barra do Choça;2016;Industrial;222874
Barra do Choça;2016;Pública;13984603
Barra do Choça;2016;Residencial;11560462
Barra do Choça;2016;Rural;5803722
Barra do Mendes;2016;Comercial;793427
Barra do Mendes;2016;Industrial;18767
Barra do Mendes;2016;Pública;1810483
Barra do Mendes;2016;Residencial;4992251
Barra do Mendes;2016;Rural;554970
Barra do Rocha;2016;Comercial;481599
Barra do Rocha;2016;Industrial;6375
Barra do Rocha;2016;Pública;889517
Barra do Rocha;2016;Residencial;1725417
Barra do Rocha;2016;Rural;806627
Barreiras;2016;Comercial;49242018
Barreiras;2016;Industrial;12202440
Barreiras;2016;Outros;489657
Barreiras;2016;Pública;29671354
Barreiras;2016;Residencial;104850855
Barreiras;2016;Rural;166503446
Barro Alto;2016;Comercial;557049
Barro Alto;2016;Industrial;29454
Barro Alto;2016;Pública;1555927
Barro Alto;2016;Residencial;4255974
Barro Alto;2016;Rural;3259037
Barrocas;2016;Comercial;604537
Barrocas;2016;Industrial;66686922
Barrocas;2016;Pública;1556230
Barrocas;2016;Residencial;4221651
Barrocas;2016;Rural;702578
Barro Preto;2016;Comercial;578566
Barro Preto;2016;Industrial;17572
Barro Preto;2016;Pública;458989
Barro Preto;2016;Residencial;1950213
Barro Preto;2016;Rural;708257
Belmonte;2016;Comercial;2427910
Belmonte;2016;Industrial;503577
Belmonte;2016;Outros;1446
Belmonte;2016;Pública;3687568
Belmonte;2016;Residencial;8788706
Belmonte;2016;Rural;1453916
Belo Campo;2016;Comercial;1122944
Belo Campo;2016;Industrial;552573
Belo Campo;2016;Outros;1393
Belo Campo;2016;Pública;1730543
Belo Campo;2016;Residencial;5711178
Belo Campo;2016;Rural;1479885
Biritinga;2016;Comercial;677707
Biritinga;2016;Industrial;2898938
Biritinga;2016;Pública;24672794
Biritinga;2016;Residencial;3617315
Biritinga;2016;Rural;1347361
Boa Nova;2016;Comercial;549032
Boa Nova;2016;Industrial;18134
Boa Nova;2016;Outros;12299
Boa Nova;2016;Pública;2064147
Boa Nova;2016;Residencial;4296521
Boa Nova;2016;Rural;679002
